ZIPCODE,DISTRICT
98039,48
98040,41
98041,1
98042,47
98043,1
98045,5
98046,32
98047,30
98050,5
98051,5
98052,48
98053,45
98055,11
98056,41
98057,11
98058,11
98059,5
98060,unknown
98061,23
98062,34
98063,30
98064,47
98065,5
98068,13
98070,34
98071,47
98072,45
98073,48
98074,45
98075,41
98077,45
98082,44
98083,45
98087,21
98090,13
98092,31
98093,30
98095,39
98097,39
98099,unknown
98101,43
98102,43
98103,43
98104,37
98105,46
98106,34
98107,36
98108,11
98109,36
98110,23
98111,43
98112,43
98113,43
98114,37
98115,46
98116,34
98117,36
98118,37
98119,36
98121,36
98122,37
98124,43
98125,46
98126,34
98127,43
98133,32
98134,11
98136,34
98138,11
98139,43
98144,37
98145,43
98146,34
98148,33
98154,43
98155,46
98158,33
98163,39
98164,43
98165,43
98166,34
98168,33
98175,43
98177,32
98178,37
98185,43
98188,33
98191,43
98194,43
98195,46
98196,13
98198,33
98199,36
98201,38
98203,38
98204,21
98206,38
98208,38
98210,unknown
98213,38
98220,42
98221,40
98223,39
98224,39
98225,42
98226,42
98227,42
98228,42
98229,40
98230,42
98231,42
98232,40
98233,40
98234,13
98235,unknown
98236,10
98237,unknown
98238,10
98239,10
98240,42
98241,39
98243,40
98244,42
98245,40
98247,42
98248,42
98249,10
98250,40
98251,39
98252,39
98253,10
98256,39
98257,10
98258,44
98260,10
98261,40
98262,42
98264,42
98269,39
98270,38
98271,38
98272,39
98273,10
98274,10
98275,21
98277,10
98279,40
98281,42
98282,10
98284,39
98286,40
98288,39
98290,44
98291,44
98292,10
98293,39
98294,39
98295,42
98296,1
98301,unknown
98302,13
98303,28
98310,23
98311,23
98312,35
98320,24
98321,2
98322,26
98323,31
98324,24
98325,24
98327,28
98328,2
98329,26
98331,24
98332,26
98333,26
98335,26
98336,20
98337,26
98338,2
98339,24
98340,23
98341,39
98342,23
98343,24
98344,2
98345,23
98346,23
98349,26
98350,24
98352,unknown
98353,unknown
98354,30
98355,20
98356,20
98357,24
98358,24
98359,26
98360,2
98361,20
98362,24
98363,24
98364,23
98365,24
98366,26
98367,35
98368,24
98370,23
98371,25
98372,31
98373,25
98374,25
98375,2
98376,24
98377,20
98380,35
98382,24
98383,23
98384,26
98386,26
98387,28
98388,28
98390,31
98391,31
98392,23
98393,23
98394,26
98395,26
98396,31
98401,26
98402,27
98403,27
98404,27
98405,27
98406,27
98407,27
98408,29
98409,29
98411,29
98415,27
98417,27
98418,27
98419,27
98421,27
98422,27
98424,25
98431,28
98438,28
98443,25
98444,29
98445,25
98446,25
98448,29
98454,13
98460,13
98464,27
98465,28
98466,28
98467,28
98468,13
98469,39
98488,13
98496,29
98497,unknown
98498,28
98499,29
98501,35
98502,35
98503,22
98504,22
98505,22
98506,22
98507,22
98508,22
98509,22
98511,35
98512,35
98513,2
98516,22
98520,24
98524,35
98527,19
98528,35
98531,20
98532,19
98537,19
98538,19
98541,24
98542,20
98546,35
98547,19
98548,35
98550,24
98555,35
98557,24
98558,2
98562,24
98563,24
98565,20
98568,19
98569,24
98570,20
98575,24
98576,20
98577,19
98578,13
98579,35
98580,2
98582,20
98584,35
98585,20
98586,19
98587,24
98588,35
98589,20
98590,19
98591,20
98592,35
98594,unknown
98595,19
98596,20
98597,2
98601,18
98603,20
98604,18
98605,14
98606,18
98607,18
98610,14
98611,20
98613,14
98614,19
98617,14
98618,13
98619,14
98620,14
98621,19
98623,14
98624,19
98625,20
98626,20
98628,14
98629,20
98630,13
98631,19
98632,19
98635,14
98637,19
98638,19
98639,14
98640,19
98641,19
98642,18
98644,19
98647,19
98648,14
98649,20
98650,14
98651,14
98660,49
98661,49
98662,17
98663,49
98664,49
98665,49
98666,49
98668,49
98670,14
98671,18
98672,14
98674,20
98675,18
98680,unknown
98681,39
98682,18
98683,17
98684,17
98685,18
98686,17
98687,17
98689,39
98694,unknown
98701,39
98705,39
98721,39
98753,39
98762,13
98767,39
98770,13
98801,12
98802,12
98807,12
98812,12
98814,12
98815,12
98816,12
98817,12
98821,12
98822,12
98823,13
98824,13
98826,12
98828,12
98831,12
98832,13
98833,12
98834,12
98836,12
98837,13
98840,12
98841,12
98843,12
98846,12
98847,12
98848,13
98850,12
98851,13
98855,7
98856,12
98857,13
98858,12
98862,12
98873,39
98880,13
98892,13
98901,15
98902,14
98903,14
98904,14
98905,39
98907,15
98908,14
98909,15
98911,39
98922,13
98923,14
98926,13
98930,15
98932,15
98934,13
98935,15
98936,15
98937,14
98938,15
98939,15
98941,13
98942,14
98943,13
98944,15
98945,39
98948,14
98950,13
98951,14
98952,14
98953,15
98957,39
98961,39
98990,13
99001,6
99003,7
99004,9
99005,7
99006,7
99008,13
99009,7
99012,9
99016,9
99017,9
99019,4
99021,4
99022,6
99025,4
99026,7
99027,4
99029,13
99031,9
99032,13
99033,9
99034,7
99036,6
99037,4
99038,13
99040,7
99101,7
99103,13
99106,13
99108,13
99109,7
99111,9
99114,7
99115,13
99117,13
99118,7
99122,13
99123,12
99125,9
99130,9
99133,12
99135,13
99136,9
99139,7
99141,7
99143,9
99148,7
99149,9
99153,7
99155,12
99156,7
99157,7
99158,9
99159,13
99163,9
99166,7
99169,9
99170,9
99171,9
99176,9
99185,13
99200,13
99201,3
99202,3
99203,6
99204,3
99205,3
99206,4
99207,3
99208,7
99209,3
99210,3
99211,3
99212,4
99213,3
99214,4
99216,4
99217,4
99218,7
99219,6
99220,3
99223,6
99224,6
99228,6
99230,13
99293,39
99301,9
99302,16
99304,unknown
99320,8
99323,16
99324,16
99326,9
99328,16
99329,16
99336,8
99337,16
99338,16
99341,9
99343,9
99344,9
99347,9
99348,16
99350,16
99352,8
99353,unknown
99354,8
